wallet_address,erc20_txcount_sent_to_brdg,erc20_total_sent_to_brdg,erc20_txcount_received_from_brdg,erc20_total_received_from_brdg,erc20_net_balance,t12_txcnt_sent_to_brdg,t12_total_sent_to_brdg,t12_txcnt_received_from_brdg,t12_total_received_from_brdg,t12_net_balance,diff_net_balance
0x022a3a5eec700cdf7d7efdb5d119a6ca72246e3f,0,0.0,13,3953.0,3953.0,15,4941.0,0,0.0,-4941.0,-988.0
0x2bbbe8df045c57d3323e1c8d40ae005aec7bd35d,1,3914.6934,2,7829.3868,3914.6934,2,7829.3868,1,3914.6934,-3914.6934,0.0
0xdc61d6f15e4e44bd0a5d71ba506283d1675e411f,1,17.0,13,3920.0,3903.0,14,4320.0,1,17.0,-4303.0,-400.0
0xd465a89cd821d29923ab2a5c95c7a30033556b46,0,0.0,4,3872.89371028,3872.89371028,4,3872.89371028,0,0.0,-3872.89371028,0.0
0x0eca3471f6396d95a7f8d7d6b03c8d2967b51919,0,0.0,5,3859.0,3859.0,6,4751.0,0,0.0,-4751.0,-892.0
0x4568d2b78c578a4af4ed5697fb44ae174bf3b81d,0,0.0,16,3840.0,3840.0,17,3940.0,0,0.0,-3940.0,-100.0
0xe0b6dadb6d0b7c51d5eed8658400558c9c9a0256,0,0.0,7,3783.0,3783.0,7,3783.0,0,0.0,-3783.0,0.0
0xd74da7f8bf225b2d0cfda9dca28af5cb1e98c205,0,0.0,7,3722.0,3722.0,7,3722.0,0,0.0,-3722.0,0.0
0x6a3f967f2ac0118f2513c024a47714d1d3d22a4d,0,0.0,5,3718.0000000000005,3718.0000000000005,5,3717.99999999,0,0.0,-3717.99999999,1.0000348993344232e-08
0x9e214d67f28c9754f76fe8dc5d4a801c2ec5be16,0,0.0,16,3716.02532701,3716.02532701,18,4578.02532697,0,0.0,-4578.02532697,-861.9999999599995
0x95fffabbd89216d73e4a03c533f6ad218fa7e39e,0,0.0,1,3690.0,3690.0,2,7380.0,0,0.0,-7380.0,-3690.0
