chain,hash,signed_amount,date,from,to,reason
ERC20,0x0ef141b443a6a178f6b33faa65073377e75b439f0ebff66ca276f4b58dd14187,-245.0,2023-07-03T23:44:35+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x77050305963c8186a59ce27553ae295115e56cfe,No matching T12 transaction found within 23040 min tolerance
T12,f053c999ca0a99756a0147236ce1978ab17f215b50a9d8d96faa4b1bd0483b36,1269.0,2023-07-03T23:45:13.227000+00:00,0x7fc98e87c51d48a37b1abc0732fed6e4981d7d61,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,No matching ERC20 transaction found within 23040 min tolerance
ERC20,0xd0089089ba11065e1e088ec3c07cf7d95c1c186c627a4dff715444cf05ef6628,-17.0,2023-07-03T23:45:23+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
T12,2d42430729da50b622cd0418165ba73bafe543909f7fe2813a3fa5e079361a08,3.0,2023-07-03T23:45:59.434000+00:00,0x1d057030fdc6a501dbee15b3d5337c8388da8ff9,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,No matching ERC20 transaction found within 23040 min tolerance
ERC20,0xa6c28ad236d1f16d73147cda95c95832b1609f65b52a2749fa8db7925191098f,-17.0,2023-07-03T23:46:23+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x9c2e486ebe402e01da194a7cf1c6745df5e0e0cff0d60c6d4e633b1136071dd8,-17.0,2023-07-03T23:46:47+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
T12,d0d467796c525b3b02dfdd0d67111990b0d4cb9d9043fabbd6b85ce1db4271c0,4.2,2023-07-03T23:47:06.125000+00:00,0xb51dd72aae12571b63e89661e38edb108f93d8da,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,No matching ERC20 transaction found within 23040 min tolerance
ERC20,0x0642c08b6a5e13c4ef4926e9e7f139cb0b6f437ae44d565a614e956ba9abc32c,-17.0,2023-07-03T23:47:47+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x5bb9d1d28f6dfb15c5b97e0bb0559c26a71dbce787012bfabc31c59da07609d4,-17.0,2023-07-03T23:48:11+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0xd2a4270ab9705718b5394345a090fe1e3320800b4672680f293b64419bfa0b15,-17.0,2023-07-03T23:48:47+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x6a8b9f984141f52d80c83e2b16bc4982c22f5f4434b442e457e07270eb0b15c1,-17.0,2023-07-03T23:49:23+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x62a820fcc464aef0a3eefeff5bafc661586e35253703c39e9028df2cc10c5b98,-17.0,2023-07-03T23:50:23+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0xa4f2be1f112e2e3fcbb75ad21b86fb8feaea36f486f7cc6419272ac0c5bb563e,-18.0,2023-07-03T23:51:23+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x0054f84d8283b868b2e4a4a3deb1e0d4cff3c1df1bd763fe75a27321629c9bb4,-18.0,2023-07-03T23:51:35+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x6a097962acde9077d36e397fa62a845704e83d9fdb4a37a841c70293018fded8,-18.0,2023-07-03T23:52:23+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
ERC20,0x344a79e7b29f32d543e5fcdf994b414a8cc5f71cf697357b2e5603904eaa8d7a,-17.0,2023-07-03T23:52:47+00:00,0x8f6bc622331f1586cf3ac042efa78b33f72a672d,0x9eec85731a950c1ce9ac9de551f3067aba7f26c3,No matching T12 transaction found within 23040 min tolerance
